,runtime,type
2016/1/1,27.381,32M
2016/2/1,27.521,32M
2016/3/1,27.938,32M
2016/4/1,28.071,32M
2016/5/1,28.205,32M
2016/6/1,28.432,32M
2016/7/1,28.504,32M
2016/8/1,28.525,32M
2016/9/1,28.648,32M
2016/10/1,28.752,32M
2016/11/1,28.841,32M
2016/12/1,28.784,32M
2017/1/1,28.796,32M
2017/2/1,28.839,32M
2017/3/1,28.817,32M
2017/4/1,28.826,32M
2017/5/1,28.871,32M
2017/6/1,29.024,32M
2017/7/1,29.445,32M
2017/8/1,29.32,32M
2017/9/1,29.531,32M
2017/10/1,29.442,32M
2017/11/1,29.55,32M
2017/12/1,29.549,32M
2018/1/1,29.557,32M
2018/2/1,29.608,32M
2018/3/1,29.602,32M
2018/4/1,29.628,32M
2018/5/1,29.629,32M
2018/6/1,29.675,32M
2018/7/1,29.641,32M
2018/8/1,29.712,32M
2018/9/1,29.661,32M
