,runtime
2016/1/1,6.994
2016/2/1,6.994
2016/3/1,7.221
2016/4/1,7.342
2016/5/1,7.451
2016/6/1,7.44
2016/7/1,7.452
2016/8/1,7.501
2016/9/1,7.684
2016/10/1,7.773
2016/11/1,7.771
2016/12/1,7.969
2017/1/1,8.342
2017/2/1,8.558
2017/3/1,8.737
2017/4/1,8.76
2017/5/1,8.689
2017/6/1,8.829
2017/7/1,8.791
2017/8/1,8.905
2017/9/1,8.884
2017/10/1,8.907
2017/11/1,8.782
2017/12/1,8.801
2018/1/1,8.872
2018/2/1,8.851
2018/3/1,8.964
2018/4/1,9.014
2018/5/1,9.151
2018/6/1,9.12
2018/7/1,9.213
2018/8/1,9.201
2018/9/1,9.187
2018/10/1,9.175
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
