a1,a2,a3,h1,h2,h3,t1 ,t2,t3
7.234,14.334,27.381,6.994,14.234,31.875,6.524,13.873,32.135
7.196,14.528,27.521,7.221,14.715,32.225,6.481,13.955,32.005
7.24,14.449,27.938,7.342,14.928,32.938,6.442,13.924,31.978
7.237,14.631,28.071,7.451,14.349,33.164,6.468,13.868,31.994
7.265,14.761,28.205,7.44,14.031,33.505,6.397,13.801,31.785
7.288,14.692,28.432,7.452,13.821,33.422,6.384,13.795,31.692
7.28,14.774,28.504,7.501,13.622,33.414,6.373,13.862,31.604
7.301,14.883,28.525,7.684,13.701,33.515,6.382,13.884,31.524
7.294,14.903,28.648,7.773,13.783,33.388,6.293,13.943,31.608
7.317,15.013,28.752,7.771,13.723,33.052,6.172,14.025,31.482
7.33,15.062,28.841,7.969,13.543,32.941,6.153,14.213,31.441
7.327,15.157,28.784,8.342,13.261,32.981,6.144,14.235,31.354
7.329,15.211,28.796,8.558,13.102,33.132,6.004,14.262,31.422
7.319,15.21,28.839,8.737,13.171,33.019,6.217,14.201,31.279
7.328,15.341,28.817,8.76,12.938,33.171,6.06,14.211,31.261
7.337,15.393,28.826,8.689,12.724,33.206,6.124,14.224,31.286
7.344,15.475,28.871,8.829,12.893,33.328,5.949,14.253,31.338
7.349,15.417,29.024,8.791,12.715,33.423,5.781,14.261,31.343
7.348,15.5,29.445,8.905,12.517,33.545,5.723,14.237,31.315
7.341,15.474,29.32,8.884,12.31,34.027,5.824,14.279,31.277
7.437,15.482,29.531,8.907,12.124,34.101,5.843,14.284,31.231
7.426,15.442,29.442,8.782,12.272,34.312,5.792,14.332,31.342
7.445,15.512,29.55,8.801,12.127,34.564,5.791,14.361,31.307
7.431,15.509,29.549,8.872,12.105,34.652,5.785,14.368,31.315
7.432,15.52,29.557,8.851,12.113,34.689,5.793,14.355,31.304
7.451,15.518,29.608,8.964,12.108,34.671,5.784,14.36,31.289
7.446,15.523,29.602,9.014,12.078,34.795,5.772,14.371,31.294
7.455,15.536,29.628,9.151,12.057,34.806,5.77,14.379,31.281
7.451,15.529,29.629,9.12,12.063,34.821,5.683,14.384,31.289
7.459,15.531,29.675,9.213,12.054,34.987,5.69,14.381,31.271
7.462,15.538,29.641,9.201,12.046,34.934,5.671,14.39,31.265
7.463,15.541,29.712,9.187,12.048,35.136,5.652,14.385,31.26
7.461,15.545,29.661,9.175,12.037,35.119,5.653,14.397,31.259
